Car_ID,Brand,Model_Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Engine_CC,Max_Power_bhp,Mileage_kmpl,Seats,Price_USD,Vehicle_Age,Price_per_bhp,Brand_Segment,Mileage_Category,Age_Category
54,Honda,2022,73619,Petrol,Manual,First,4971,279.2,25.64,2,52766.71,4,188.99251432664758,Mass Market,Moderate,Recent
55,Kia,2021,165400,Diesel,Automatic,Second,1725,306.1,24.78,5,31923.11,5,104.28980725253184,Mass Market,Very High,Recent
56,BMW,2011,51479,Petrol,Manual,Second,4534,542.9,10.02,2,90559.9,15,166.80769939215324,Premium,Moderate,Very Old
57,Honda,2021,156175,Petrol,Manual,First,1769,334.0,25.13,5,33658.1,5,100.77275449101796,Mass Market,Very High,Recent
58,Hyundai,2024,175963,Hybrid,Automatic,Second,1894,436.1,26.25,2,106160.92,2,243.43251547810132,Mass Market,Very High,New
59,Hyundai,2013,146826,Diesel,Manual,Third,3995,181.2,12.23,5,107342.96,13,592.4004415011038,Mass Market,High,Very Old
60,Volkswagen,2021,86437,Diesel,Manual,Second,2204,290.2,28.81,6,25983.63,5,89.5369745003446,Mass Market,Moderate,Recent
61,BMW,2024,103540,Electric,Automatic,Second,4164,109.1,6.25,4,74819.98,2,685.7926672777269,Premium,High,New
62,Hyundai,2012,77982,Hybrid,Manual,Second,4782,155.3,8.75,6,13262.96,14,85.40218931101093,Mass Market,Moderate,Very Old
63,Honda,2021,107747,Electric,Manual,Third,4813,40.5,18.44,2,48809.84,5,1205.1812345679011,Mass Market,High,Recent
64,Volkswagen,2011,191994,Hybrid,Automatic,First,3892,62.0,19.39,7,86458.64,15,1394.494193548387,Mass Market,Very High,Very Old
65,Honda,2005,53231,Diesel,Automatic,Third,4959,587.3,21.13,6,80152.52,21,136.47628128724674,Mass Market,Moderate,
66,Volkswagen,2017,34301,Petrol,Automatic,First,2874,175.7,5.42,4,76089.98,9,433.0676152532726,Mass Market,Low,Older
67,BMW,2023,198783,Petrol,Manual,First,1084,411.5,29.01,2,36057.28,3,87.62400972053463,Premium,Very High,New
68,Kia,2023,177395,Petrol,Automatic,First,1987,509.9,6.11,6,47228.92,3,92.62388703667386,Mass Market,Very High,New
69,Audi,2021,23752,Petrol,Automatic,Second,4769,348.4,8.58,5,15044.7,5,43.18226176808267,Premium,Low,Recent
70,Nissan,2017,103452,Petrol,Manual,Second,3765,125.8,5.35,7,87125.67,9,692.572893481717,Mass Market,High,Older
71,Kia,2020,149467,Electric,Automatic,First,1583,447.7,19.17,2,61954.99,6,138.38505695778423,Mass Market,High,Recent
72,Mercedes,2012,126237,Hybrid,Automatic,First,1749,376.1,28.31,6,85925.58,14,228.46471683063015,Premium,High,Very Old
73,Honda,2023,61273,Diesel,Automatic,Second,4739,449.5,21.65,2,32126.39,3,71.47139043381534,Mass Market,Moderate,New
74,Mercedes,2022,96878,Electric,Automatic,Third,844,471.1,25.57,5,40959.27,4,86.94389726172786,Premium,Moderate,Recent
75,Kia,2005,9895,Hybrid,Manual,First,2610,586.2,5.33,4,42103.19,21,71.823933810986,Mass Market,Low,
76,Volkswagen,2018,124968,Petrol,Automatic,Third,2881,361.2,18.55,6,6011.86,8,16.644130675526025,Mass Market,High,Older
77,Nissan,2023,120700,Hybrid,Automatic,Second,4298,231.3,16.49,2,42902.6,3,185.4846519671422,Mass Market,High,New
78,Nissan,2019,81559,Hybrid,Manual,First,1629,403.1,17.47,2,96986.64,7,240.60193500372114,Mass Market,Moderate,Recent
79,Toyota,2022,15699,Petrol,Automatic,Third,2709,78.3,6.81,2,107983.92,4,1379.1049808429118,Mass Market,Low,Recent
80,Nissan,2006,14715,Petrol,Manual,Third,3381,542.5,22.11,4,63631.54,20,117.29316129032259,Mass Market,Low,Very Old
81,Audi,2021,24169,Petrol,Manual,Third,1491,106.9,17.58,2,56293.7,5,526.601496725912,Premium,Low,Recent
82,Nissan,2022,123413,Diesel,Manual,Second,4819,223.6,24.13,7,6606.48,4,29.54597495527728,Mass Market,High,Recent
83,Kia,2010,152235,Petrol,Automatic,Second,1731,496.8,17.13,7,105866.91,16,213.09764492753624,Mass Market,Very High,Very Old
84,Toyota,2023,124264,Diesel,Manual,Third,4206,374.5,8.73,2,4522.19,3,12.075273698264352,Mass Market,High,New
85,Kia,2008,10782,Petrol,Manual,Third,947,260.4,21.21,7,113535.76,18,436.005222734255,Mass Market,Low,Very Old
86,Kia,2005,129481,Diesel,Manual,Second,1832,305.1,9.31,6,60238.3,21,197.43788921665026,Mass Market,High,
87,Ford,2012,40585,Hybrid,Automatic,Third,2111,518.5,26.81,7,43006.34,14,82.94376084860173,Mass Market,Low,Very Old
88,Toyota,2011,35682,Electric,Automatic,Third,1187,230.4,20.33,2,111133.56,15,482.3505208333333,Mass Market,Low,Very Old
89,Kia,2007,183936,Hybrid,Automatic,Second,3921,527.0,8.93,5,5853.75,19,11.107685009487666,Mass Market,Very High,Very Old
90,Ford,2014,134992,Hybrid,Automatic,Third,2673,89.4,29.06,6,71026.71,12,794.4822147651007,Mass Market,High,Older
91,Ford,2014,89416,Petrol,Automatic,Third,4388,475.0,17.96,4,67225.11,12,141.52654736842106,Mass Market,Moderate,Older
92,Toyota,2023,191186,Diesel,Automatic,Third,1715,514.6,6.82,2,28660.49,3,55.694694908666925,Mass Market,Very High,New
93,Mercedes,2018,132810,Electric,Automatic,Second,2678,141.8,20.67,4,53179.83,8,375.03406205923835,Premium,High,Older
94,Volkswagen,2006,43067,Petrol,Manual,Third,4548,281.0,11.33,5,79314.89,20,282.25939501779357,Mass Market,Low,Very Old
95,Audi,2005,178757,Petrol,Manual,Second,1077,132.7,25.09,4,88074.35,21,663.710248681236,Premium,Very High,
96,Volkswagen,2022,23073,Petrol,Manual,Second,2777,435.7,25.45,2,3083.87,4,7.077966490704613,Mass Market,Low,Recent
97,Nissan,2011,41035,Hybrid,Manual,First,2659,339.8,29.47,2,112611.85,15,331.40626839317247,Mass Market,Low,Very Old
98,Audi,2012,95373,Diesel,Automatic,First,3836,395.8,17.55,5,22249.47,14,56.21392117230925,Premium,Moderate,Very Old
99,Nissan,2005,88362,Diesel,Manual,Third,4171,150.0,16.37,2,30328.91,21,202.19273333333334,Mass Market,Moderate,
100,Kia,2007,95517,Electric,Manual,Second,2982,158.6,23.84,5,33826.39,19,213.2811475409836,Mass Market,Moderate,Very Old
101,Honda,2012,70450,Diesel,Manual,First,1970,63.2,8.31,5,7424.96,14,117.48354430379746,Mass Market,Moderate,Very Old
102,Toyota,2019,15382,Diesel,Manual,Third,1289,220.4,18.67,2,17397.1,7,78.93421052631578,Mass Market,Low,Recent
103,Audi,2009,140509,Petrol,Automatic,First,3325,353.5,18.66,7,118402.94,17,334.94466760961814,Premium,High,Very Old
104,Audi,2007,66929,Petrol,Automatic,First,1982,520.4,7.24,5,39880.36,19,76.63405073020753,Premium,Moderate,Very Old
105,Kia,2023,103864,Hybrid,Automatic,Second,3288,413.5,15.45,2,16490.23,3,39.879637243047156,Mass Market,High,New
106,Mercedes,2005,148401,Petrol,Manual,Second,2676,283.8,26.33,7,15517.98,21,54.679281183932346,Premium,High,
107,Ford,2019,30169,Petrol,Automatic,First,3262,573.7,26.4,5,87176.82,7,151.95541223636047,Mass Market,Low,Recent
108,Kia,2012,92468,Petrol,Manual,First,2430,442.8,7.48,7,102984.53,14,232.5757226738934,Mass Market,Moderate,Very Old
109,Hyundai,2006,39594,Petrol,Automatic,Second,1087,560.9,7.27,6,33063.42,20,58.94708504189695,Mass Market,Low,Very Old
110,Ford,2007,196703,Hybrid,Automatic,Third,2707,335.4,11.57,6,5446.41,19,16.23855098389982,Mass Market,Very High,Very Old
111,Toyota,2018,50033,Petrol,Automatic,Second,1961,185.0,26.87,7,29101.53,8,157.30556756756755,Mass Market,Moderate,Older
112,Ford,2018,68133,Electric,Automatic,First,929,69.6,8.22,5,9612.34,8,138.10833333333335,Mass Market,Moderate,Older
113,Mercedes,2015,78861,Electric,Automatic,Third,3163,446.6,23.0,2,15097.21,11,33.80476936856247,Premium,Moderate,Older
114,Ford,2020,188362,Electric,Manual,First,943,107.9,7.53,4,53486.45,6,495.70389249304907,Mass Market,Very High,Recent
115,Toyota,2008,36750,Electric,Automatic,Third,815,209.6,20.58,2,29900.45,18,142.65481870229007,Mass Market,Low,Very Old
116,Mercedes,2024,45461,Petrol,Manual,First,1044,338.2,13.9,4,63365.67,2,187.361531638084,Premium,Low,New
117,Volkswagen,2009,83222,Electric,Manual,Third,1726,356.1,24.72,4,32658.77,17,91.71235607975288,Mass Market,Moderate,Very Old
118,Audi,2018,117020,Petrol,Manual,Third,3978,376.3,10.84,5,113042.86,8,300.40621844273187,Premium,High,Older
119,Audi,2020,29226,Hybrid,Manual,First,2976,133.1,20.98,7,108995.44,6,818.8988730277987,Premium,Low,Recent
120,Nissan,2022,11721,Electric,Manual,Third,1686,252.7,10.89,2,69316.31,4,274.3027700831025,Mass Market,Low,Recent
121,Volkswagen,2011,192226,Diesel,Automatic,Second,1140,385.6,22.84,7,44467.61,15,115.32056535269709,Mass Market,Very High,Very Old
122,Volkswagen,2014,25609,Electric,Automatic,First,2851,583.1,26.84,6,47594.19,12,81.62268907563025,Mass Market,Low,Older
123,Ford,2011,188202,Electric,Automatic,Second,4198,447.5,8.17,5,51186.72,15,114.38373184357542,Mass Market,Very High,Very Old
124,Audi,2005,135513,Petrol,Automatic,First,4750,556.7,26.66,5,88126.78,21,158.30210167055864,Premium,High,
125,Toyota,2023,109211,Electric,Manual,Third,1105,466.8,19.84,6,55841.76,3,119.626735218509,Mass Market,High,New
126,BMW,2020,191321,Diesel,Automatic,Third,1707,371.4,8.18,2,103237.4,6,277.9682283252558,Premium,Very High,Recent
127,BMW,2023,184967,Petrol,Automatic,Third,3454,147.5,15.69,6,113459.09,3,769.2141694915254,Premium,Very High,New
128,Mercedes,2008,141728,Petrol,Manual,First,4592,413.3,9.02,2,42305.7,18,102.36075489958867,Premium,High,Very Old
129,Audi,2022,129865,Hybrid,Manual,Second,4842,389.1,22.51,4,68601.25,4,176.30750449755845,Premium,High,Recent
130,Audi,2006,79520,Hybrid,Automatic,Second,2171,377.4,23.97,5,14121.61,20,37.41815050344462,Premium,Moderate,Very Old
131,BMW,2005,199812,Electric,Automatic,First,1120,314.3,7.64,2,26454.88,21,84.17079223671651,Premium,Very High,
132,Audi,2019,69309,Hybrid,Manual,First,4859,336.0,17.65,7,51375.49,7,152.90324404761904,Premium,Moderate,Recent
133,Ford,2009,34984,Hybrid,Automatic,Second,1931,227.3,25.37,7,27125.72,17,119.3388473383194,Mass Market,Low,Very Old
134,Hyundai,2024,123947,Hybrid,Automatic,Second,3378,330.8,28.4,5,105557.58,2,319.0978839177751,Mass Market,High,New
135,Honda,2015,10901,Petrol,Automatic,Second,4842,150.6,17.84,6,21519.49,11,142.8916998671979,Mass Market,Low,Older
136,Volkswagen,2014,167624,Petrol,Automatic,Second,4167,490.9,28.76,6,56312.32,12,114.71240578529232,Mass Market,Very High,Older
137,Nissan,2006,36055,Petrol,Manual,First,1617,144.0,18.39,2,73866.81,20,512.9639583333333,Mass Market,Low,Very Old
138,Mercedes,2007,173757,Hybrid,Manual,First,811,87.6,14.85,6,83948.08,19,958.3114155251143,Premium,Very High,Very Old
139,Hyundai,2016,150788,Petrol,Manual,Third,994,284.3,26.21,5,47819.12,10,168.19950756243406,Mass Market,Very High,Older
140,BMW,2024,119099,Hybrid,Automatic,Second,3337,408.7,17.32,2,104684.59,2,256.1404208465867,Premium,High,New
141,Volkswagen,2009,16138,Petrol,Automatic,Third,3642,285.1,16.8,4,69493.34,17,243.7507541213609,Mass Market,Low,Very Old
142,Audi,2009,171370,Petrol,Automatic,First,3029,195.0,17.26,6,54422.41,17,279.08928205128205,Premium,Very High,Very Old
143,Nissan,2010,187184,Diesel,Automatic,First,3809,352.6,26.17,6,10867.15,16,30.8200510493477,Mass Market,Very High,Very Old
144,Audi,2013,28429,Electric,Automatic,Third,2877,234.3,25.8,2,57368.67,13,244.85134443021764,Premium,Low,Very Old
145,Toyota,2006,55200,Hybrid,Manual,Second,4667,562.4,15.09,7,99026.09,20,176.07768492176388,Mass Market,Moderate,Very Old
146,Toyota,2016,184316,Diesel,Automatic,Second,1243,556.7,13.33,6,74901.3,10,134.54517693551284,Mass Market,Very High,Older
147,Nissan,2007,106268,Petrol,Automatic,Second,1097,321.3,17.3,5,100363.01,19,312.3654217242452,Mass Market,High,Very Old
148,Nissan,2024,22347,Hybrid,Manual,Second,1644,223.6,19.32,6,60799.37,2,271.9113148479428,Mass Market,Low,New
149,BMW,2016,152992,Petrol,Automatic,Third,1815,452.8,10.96,4,16860.02,10,37.23502650176678,Premium,Very High,Older
150,Nissan,2021,36822,Electric,Manual,Third,2184,60.6,24.85,6,4595.86,5,75.83927392739274,Mass Market,Low,Recent
151,Ford,2014,182731,Diesel,Manual,First,2197,305.9,17.16,7,38476.69,12,125.78192219679636,Mass Market,Very High,Older
152,Audi,2018,45108,Electric,Manual,Second,1353,228.3,13.35,6,84664.89,8,370.84927726675426,Premium,Low,Older
153,Hyundai,2021,133955,Diesel,Manual,Second,3150,555.5,7.67,2,95460.41,5,171.84592259225923,Mass Market,High,Recent
154,Kia,2022,12967,Petrol,Manual,Second,2069,46.7,10.97,6,37603.08,4,805.2051391862955,Mass Market,Low,Recent
155,Nissan,2023,115719,Electric,Automatic,Third,2060,349.6,28.73,7,60991.51,3,174.4608409610984,Mass Market,High,New
156,Mercedes,2021,16871,Electric,Manual,Second,984,454.8,12.63,2,52270.91,5,114.9316402814424,Premium,Low,Recent
157,Toyota,2018,169685,Petrol,Manual,Third,3210,311.6,9.22,5,51031.17,8,163.77140564826698,Mass Market,Very High,Older
158,Ford,2013,33179,Electric,Automatic,Second,3009,87.8,16.52,2,30067.8,13,342.45785876993165,Mass Market,Low,Very Old
159,Volkswagen,2012,188260,Hybrid,Automatic,Second,4472,584.6,12.68,4,18955.42,14,32.42459801573725,Mass Market,Very High,Very Old
160,Kia,2006,60099,Diesel,Manual,First,2681,330.1,5.88,2,26012.56,20,78.80205998182369,Mass Market,Moderate,Very Old
161,Hyundai,2017,40262,Diesel,Automatic,Second,1321,383.9,13.08,5,9473.89,9,24.678015108101068,Mass Market,Low,Older
162,Kia,2011,83213,Diesel,Automatic,Second,2687,172.5,18.6,6,26181.3,15,151.77565217391304,Mass Market,Moderate,Very Old
163,Nissan,2013,122407,Hybrid,Manual,First,3352,310.8,18.79,2,4076.51,13,13.116184041184042,Mass Market,High,Very Old
164,BMW,2015,154340,Diesel,Manual,Third,4609,280.3,13.91,2,76389.23,11,272.52668569389937,Premium,Very High,Older
165,Toyota,2018,91269,Petrol,Automatic,Third,4955,81.9,16.18,2,40015.92,8,488.5948717948717,Mass Market,Moderate,Older
166,Toyota,2008,65545,Electric,Manual,Second,4279,99.4,29.14,2,116857.93,18,1175.6330985915492,Mass Market,Moderate,Very Old
167,Volkswagen,2017,44922,Hybrid,Manual,Third,2209,509.0,14.43,5,25664.89,9,50.422180746561885,Mass Market,Low,Older
168,BMW,2006,47913,Diesel,Automatic,Second,2494,174.3,11.46,7,43461.94,20,249.35134825014342,Premium,Low,Very Old
169,Audi,2009,102033,Petrol,Manual,First,1326,149.2,11.09,7,44867.42,17,300.7199731903485,Premium,High,Very Old
170,Honda,2015,109792,Electric,Manual,First,3460,322.8,16.44,2,3988.83,11,12.356970260223047,Mass Market,High,Older
171,Ford,2010,191749,Electric,Manual,Second,2972,470.5,23.99,5,101187.33,16,215.06340063761957,Mass Market,Very High,Very Old
172,Toyota,2022,185913,Hybrid,Manual,First,1079,74.7,10.15,5,6743.35,4,90.27242302543507,Mass Market,Very High,Recent
173,Mercedes,2014,182404,Hybrid,Manual,First,3764,363.0,22.73,2,113001.04,12,311.29763085399446,Premium,Very High,Older
174,Toyota,2008,124863,Hybrid,Automatic,Second,4777,106.8,5.53,4,107372.7,18,1005.3623595505618,Mass Market,High,Very Old
175,Kia,2013,161104,Petrol,Automatic,Second,3469,60.4,15.47,2,65656.06,13,1087.0208609271524,Mass Market,Very High,Very Old
176,Toyota,2010,173918,Petrol,Manual,First,3693,69.5,24.4,4,66600.68,16,958.2831654676258,Mass Market,Very High,Very Old
177,Toyota,2006,195546,Hybrid,Automatic,Third,2551,507.1,13.47,2,79492.02,20,156.7580753303096,Mass Market,Very High,Very Old
178,Honda,2021,49936,Diesel,Manual,Third,4781,106.1,19.09,4,48284.85,5,455.0881244109331,Mass Market,Low,Recent
179,Honda,2009,165866,Electric,Manual,Second,3161,65.3,10.12,4,78725.01,17,1205.5897396630935,Mass Market,Very High,Very Old
180,Hyundai,2010,197660,Electric,Manual,Second,4931,285.2,23.55,2,8237.9,16,28.884642356241233,Mass Market,Very High,Very Old
181,Audi,2016,186403,Petrol,Manual,Third,2508,512.6,6.31,4,9323.57,10,18.188782676550915,Premium,Very High,Older
182,Mercedes,2014,33141,Electric,Manual,First,3486,186.9,26.31,6,56495.96,12,302.2790797217763,Premium,Low,Older
183,Toyota,2010,145146,Diesel,Automatic,Third,3695,276.2,9.95,7,67305.81,16,243.6850470673425,Mass Market,High,Very Old
184,Toyota,2012,142478,Electric,Automatic,Third,3576,62.4,26.86,5,106874.66,14,1712.734935897436,Mass Market,High,Very Old
185,Ford,2006,102359,Petrol,Manual,Third,1919,291.5,13.81,4,15245.29,20,52.29945111492282,Mass Market,High,Very Old
186,Honda,2016,128279,Petrol,Automatic,Third,3788,363.5,23.07,4,99249.81,10,273.0393672627235,Mass Market,High,Older
187,Mercedes,2017,159363,Diesel,Manual,Second,994,359.7,12.98,5,27575.54,9,76.66260772866278,Premium,Very High,Older
188,Volkswagen,2011,46568,Diesel,Automatic,Second,1462,226.2,27.65,4,49107.79,15,217.09898320070735,Mass Market,Low,Very Old
189,Hyundai,2014,102539,Electric,Manual,First,1279,216.7,8.17,5,40042.48,12,184.7830179972312,Mass Market,High,Older
190,Audi,2017,51851,Electric,Automatic,First,2223,99.7,9.46,2,49818.17,9,499.68074222668,Premium,Moderate,Older
191,BMW,2021,59823,Petrol,Manual,First,3508,245.4,17.33,6,20607.97,5,83.97705786471067,Premium,Moderate,Recent
192,Audi,2018,28312,Diesel,Manual,First,3975,95.7,7.05,6,61917.7,8,646.9979101358412,Premium,Low,Older
193,Kia,2006,179180,Diesel,Automatic,Third,4614,469.3,9.9,7,96792.18,20,206.24798636266777,Mass Market,Very High,Very Old
194,Toyota,2015,170243,Diesel,Automatic,Second,2814,581.1,28.59,4,54659.48,11,94.06208914128378,Mass Market,Very High,Older
195,Hyundai,2005,177851,Electric,Manual,Second,4589,583.2,29.41,7,60401.79,21,103.56959876543209,Mass Market,Very High,
196,Kia,2023,103723,Diesel,Automatic,First,3243,524.4,14.41,2,102305.81,3,195.09117086193746,Mass Market,High,New
197,Mercedes,2008,17411,Petrol,Manual,First,1711,376.4,28.08,6,85608.8,18,227.4410201912859,Premium,Low,Very Old
198,BMW,2023,62009,Petrol,Automatic,Third,4013,432.5,18.62,2,60383.17,3,139.61426589595376,Premium,Moderate,New
199,Honda,2015,151494,Electric,Automatic,Third,3164,199.7,11.74,2,33150.39,11,166.0009514271407,Mass Market,Very High,Older
200,Hyundai,2012,178540,Hybrid,Manual,First,4429,393.2,22.56,4,106536.43,14,270.9471770091556,Mass Market,Very High,Very Old
201,Hyundai,2015,37371,Electric,Automatic,Second,4272,295.2,21.47,2,70511.39,11,238.85972222222222,Mass Market,Low,Older
202,Toyota,2008,62022,Hybrid,Automatic,Second,1480,309.9,29.73,6,28874.27,18,93.17286221361731,Mass Market,Moderate,Very Old
203,Nissan,2021,76229,Diesel,Manual,Second,1409,464.4,11.63,7,34487.01,5,74.26143410852714,Mass Market,Moderate,Recent
204,Hyundai,2011,104071,Electric,Automatic,First,2956,197.9,21.8,6,96966.57,15,489.977614957049,Mass Market,High,Very Old
205,Ford,2012,187268,Petrol,Manual,Second,4666,218.1,6.3,4,8165.03,14,37.43709307657038,Mass Market,Very High,Very Old
206,BMW,2007,101774,Diesel,Manual,Third,1171,557.8,7.84,6,119074.79,19,213.47219433488706,Premium,High,Very Old
207,BMW,2006,31715,Petrol,Manual,Third,1415,71.5,5.1,5,18251.15,20,255.26083916083917,Premium,Low,Very Old
208,Ford,2019,32605,Diesel,Manual,First,3053,312.0,29.99,7,96140.02,7,308.14108974358976,Mass Market,Low,Recent
209,Volkswagen,2009,104853,Electric,Manual,Third,4938,551.2,25.06,5,49188.71,17,89.23931422351232,Mass Market,High,Very Old
210,Ford,2005,36174,Hybrid,Automatic,First,1664,381.8,24.67,5,60589.29,21,158.69379256155054,Mass Market,Low,
